Log started

PASS | School: 1 | User: 1 | test467.sjava
PASS | School: 1 | User: 1 | test468.sjava
FAIL | School: 0 | User: 1 | test469.sjava
PASS | School: 1 | User: 1 | test470.sjava
PASS | School: 1 | User: 1 | test471.sjava
FAIL | School: 0 | User: 1 | test472.sjava
FAIL | School: 0 | User: 1 | test473.sjava
PASS | School: 1 | User: 1 | test474.sjava
PASS | School: 1 | User: 1 | test475.sjava
PASS | School: 1 | User: 1 | test476.sjava
PASS | School: 1 | User: 1 | test477.sjava
FAIL | School: 0 | User: 1 | test501.sjava
PASS | School: 1 | User: 1 | test502.sjava
PASS | School: 1 | User: 1 | test503.sjava
PASS | School: 1 | User: 1 | test504.sjava
FAIL | School: 0 | User: 1 | test505.sjava

Passed 301 out of 459 tests.

